species,longitude,latitude
Humpback Whale,-17.506405,66.01336
Humpback Whale,-17.432032,66.021966
Humpback Whale,-17.42679,66.019646
Humpback Whale,-17.52414,66.008824
Humpback Whale,-17.351138,66.127378
Humpback Whale,-17.37321,66.136976
Humpback Whale,-17.32007,66.128804
Humpback Whale,-17.378187,66.128602
Humpback Whale,-17.692586,66.085616
Humpback Whale,-17.43091,66.070268
Humpback Whale,-17.328031,66.12685
Humpback Whale,-17.324357,66.129646
Humpback Whale,-17.321324,66.132002
Humpback Whale,-17.500739,66.014751
Humpback Whale,-17.460973,66.021671
Humpback Whale,-17.492531,66.01305
Humpback Whale,-17.479399,66.01301
Humpback Whale,-17.604707,66.009215
Humpback Whale,-17.6216,66.02296
Humpback Whale,-17.660006,66.042441
Humpback Whale,-17.615005,66.104561
Humpback Whale,-17.545992,66.015619
Humpback Whale,-17.489308,66.047951
Humpback Whale,-17.463776,66.016646
Humpback Whale,-17.453406,66.014325
Humpback Whale,-17.472947,66.011009
Humpback Whale,-17.408756,66.044377
Humpback Whale,-17.569748,66.017063
Humpback Whale,-17.385941,66.046523
Humpback Whale,-17.490192,66.017646
Humpback Whale,-17.644091,66.010914
Humpback Whale,-17.455571,66.020734
Humpback Whale,-17.439991,66.017098
Humpback Whale,-17.427895,66.027628
Humpback Whale,-17.415571,66.034246
Humpback Whale,-17.456269,66.024331
Humpback Whale,-17.436916,66.026889
Humpback Whale,-17.635747,66.018213
Humpback Whale,-17.412675,66.033801
Humpback Whale,-17.419027,66.029374
Humpback Whale,-17.459885,66.020323
Humpback Whale,-17.571136,66.006755
Humpback Whale,-17.411473,66.03399
Humpback Whale,-17.508676,66.008968
Humpback Whale,-17.483818,66.016974
Humpback Whale,-17.441056,66.027231
Humpback Whale,-17.493167,66.007988
Humpback Whale,-17.490826,66.017729
Humpback Whale,-17.552779,66.025665
Humpback Whale,-17.6434,66.035237
Humpback Whale,-17.652157,66.014602
Humpback Whale,-17.465065,66.018335
Humpback Whale,-17.475183,66.017688
Humpback Whale,-17.624875,66.033373
Humpback Whale,-17.555226,66.022851
Humpback Whale,-17.552998,66.023007
Humpback Whale,-17.550359,66.023205
Humpback Whale,-17.481273,66.012452
Humpback Whale,-17.503709,66.01331
Humpback Whale,-17.550926,66.007782
Humpback Whale,-17.418184,66.049651
Humpback Whale,-17.534508,66.073644
Humpback Whale,-17.554225,66.071322
Humpback Whale,-17.639521,66.02005
Humpback Whale,-17.511466,66.014467
Humpback Whale,-17.48136,66.014565
Humpback Whale,-17.592645,66.014001
Humpback Whale,-17.600986,65.996893
Humpback Whale,-17.553477,66.004134
Humpback Whale,-17.589444,66.073333
Humpback Whale,-17.575915,66.081496
Humpback Whale,-17.615892,66.111536
Humpback Whale,-17.664219,66.0634
Humpback Whale,-17.698421,66.077377
Humpback Whale,-17.717442,66.080119
Humpback Whale,-17.60408,66.09008
Humpback Whale,-17.638034,66.076797
Humpback Whale,-17.58944,66.162592
Humpback Whale,-17.582405,66.165741
Humpback Whale,-17.584902,66.164662
Humpback Whale,-17.643359,66.157959
Humpback Whale,-17.665148,66.143283
Humpback Whale,-17.662554,66.146703
Humpback Whale,-17.662978,66.129141
Humpback Whale,-17.597625,66.117244
Humpback Whale,-17.62625,66.120562
Humpback Whale,-17.68935,66.142424
Humpback Whale,-17.683038,66.141595
Humpback Whale,-17.667147,66.132182
Humpback Whale,-17.68665,66.130753
Humpback Whale,-17.706145,66.138944
Humpback Whale,-17.474867,66.101765
Humpback Whale,-17.532632,66.066184
Humpback Whale,-17.559492,66.072513
Humpback Whale,-17.488069,66.116756
Humpback Whale,-17.538993,66.067908
Humpback Whale,-17.467022,66.051759
Humpback Whale,-17.542574,66.047548
Humpback Whale,-17.515197,66.065021
Humpback Whale,-17.661311,66.050277
