species,longitude,latitude
Humpback whale,-17.677119,66.111514
Humpback whale,-17.680302,66.117022
Humpback whale,-17.647343,66.114764
Humpback whale,-17.675796,66.097091
Humpback whale,-17.635384,66.088643
Humpback whale,-17.707924,66.100583
Humpback whale,-17.665537,66.072290
Humpback whale,-17.611286,66.068072
Humpback whale,-17.654821,66.086759
Humpback whale,-17.661712,66.101156
Humpback whale,-17.593638,66.060508
Humpback whale,-17.579204,66.079230
Humpback whale,-17.582144,66.087661
Humpback whale,-17.678935,66.092270
Humpback whale,-17.503072,66.092358
Humpback whale,-17.590049,66.073830
Humpback whale,-17.591372,66.056279
Humpback whale,-17.633109,66.060574
Humpback whale,-17.681781,66.080816
Humpback whale,-17.674618,66.083253
Humpback whale,-17.707737,66.089279
Humpback whale,-17.605172,66.061749
Humpback whale,-17.407301,66.051926
Humpback whale,-17.566380,66.098135
Humpback whale,-17.615933,66.048913
Humpback whale,-17.695401,66.083190
Humpback whale,-17.647335,66.066864
Humpback whale,-17.689315,66.089284
Humpback whale,-17.550783,66.054733
Humpback whale,-17.673319,66.069562
Humpback whale,-17.528036,66.046654
Humpback whale,-17.439770,66.035178
Humpback whale,-17.490877,66.064082
