species,longitude,latitude
Humpback whale,-17.600838,66.070486
Humpback whale,-17.619989,66.109247
Humpback whale,-17.593314,66.122234
Humpback whale,-17.556769,66.059688
Humpback whale,-17.566097,66.051700
Humpback whale,-17.586374,66.052642
Humpback whale,-17.589543,66.080310
Humpback whale,-17.610558,66.080974
Humpback whale,-17.631036,66.079598
Humpback whale,-17.634080,66.093175
Humpback whale,-17.479344,66.058482
Humpback whale,-17.530291,66.061773
Humpback whale,-17.550350,66.061442
Humpback whale,-17.536592,66.061578
Humpback whale,-17.675533,66.059276
Humpback whale,-17.520733,66.053447
Humpback whale,-17.458440,66.047313
Humpback whale,-17.445542,66.064019
Humpback whale,-17.505887,66.061686
Humpback whale,-17.427013,66.054272
Humpback whale,-17.461521,66.103074
Humpback whale,-17.480376,66.128401
Humpback whale,-17.533876,66.038483
Humpback whale,-17.552664,66.043362
Humpback whale,-17.561319,66.058291
Humpback whale,-17.562240,66.055709
Humpback whale,-17.570761,66.076365
