species,longitude,latitude
Humpback Whale,-17.6736,66.099
Humpback Whale,-17.6134,66.0759
Humpback Whale,-17.6116,66.1047
Humpback Whale,-17.6605,66.1044
Humpback Whale,-17.5129,66.0723
Humpback Whale,-17.6538,66.0867
Humpback Whale,-17.6523,66.0976
Humpback Whale,-17.6923,66.092
Humpback Whale,-17.7043,66.0937
Humpback Whale,-17.6315,66.0561
Humpback Whale,-17.6333,66.0546
Humpback Whale,-17.6335,66.0561
Humpback Whale,-17.627,66.064
Humpback Whale,-17.6429,66.0877
Humpback Whale,-17.6476,66.0925
Humpback Whale,-17.6055,66.0785
Humpback Whale,-17.7055,66.1399
Humpback Whale,-17.7117,66.1221
Humpback Whale,-17.7367,66.1266
Humpback Whale,-17.7024,66.117
Humpback Whale,-17.7281,66.1246
Humpback Whale,-17.676,66.1062
Humpback Whale,-17.6904,66.1067
Humpback Whale,-17.6671,66.1063
Humpback Whale,-17.6773,66.0985
Humpback Whale,-17.6597,66.0951
Humpback Whale,-17.663,66.0946
Humpback Whale,-17.7104,66.1115
Humpback Whale,-17.7089,66.106
Humpback Whale,-17.6246,66.069
Humpback Whale,-17.6281,66.0698
Humpback Whale,-17.6054,66.0711
Humpback Whale,-17.6054,66.0711
Humpback Whale,-17.6204,66.0716
Humpback Whale,-17.6204,66.0716
Humpback Whale,-17.5622,66.0547
Humpback Whale,-17.5093,66.0654
Humpback Whale,-17.5688,66.0545
Humpback Whale,-17.6369,66.08
Humpback Whale,-17.6234,66.0761
Humpback Whale,-17.6132,66.1252
Humpback Whale,-17.6024,66.1219
Humpback Whale,-17.5899,66.1162
Humpback Whale,-17.606,66.1124
Humpback Whale,-17.489,66.0669
Humpback Whale,-17.5705,66.0815
Humpback Whale,-17.5888,66.065
Humpback Whale,-17.4743,66.1239
Humpback Whale,-18.1709,65.8496
Humpback Whale,-18.1709,65.8496
Humpback Whale,-18.1646,65.8582
Humpback Whale,-18.1646,65.8582
Humpback Whale,-18.1651,65.8591
Humpback Whale,-18.1651,65.8591
Humpback Whale,-18.193,65.8691
Humpback Whale,-18.193,65.8691
Humpback Whale,-18.2275,65.8911
Humpback Whale,-18.2275,65.8911
Humpback Whale,-18.2082,65.8851
Humpback Whale,-18.2089,65.8857
Humpback Whale,-18.5367,66.1383
