species,longitude,latitude
Humpback,-17.4402,66.1051
Humpback,-17.4294,66.1097
Humpback,-17.3632,66.0524
Humpback,-17.363,66.0524
Humpback,-17.6555,66.0385
Humpback,-17.7019,66.0718
Humpback,-17.3999,66.0384
Humpback,-17.4565,66.0309
Humpback,-17.6648,66.0426
Humpback,-17.6439,66.1363
Humpback,-17.5243,66.1042
Humpback,-17.5794,66.0331
Humpback,-17.5983,66.0603
Humpback,-17.5821,66.0628
Humpback,-17.5409,66.0668
Humpback,-17.4251,66.0443
Humpback,-17.5081,66.0426
Humpback,-17.7239,66.099
