species,longitude,latitude
Humpback whale,-17.591343,66.025145
Humpback whale,-17.445893,66.043129
Humpback whale,-17.331328,66.183691
Humpback whale,-17.519096,66.039426
Humpback whale,-17.525266,66.029014
Humpback whale,-17.599660,66.065111
Humpback whale,-17.634232,66.073497
Humpback whale,-17.583807,66.054413
Humpback whale,-17.507560,66.020663
Humpback whale,-17.510313,66.008846
Humpback whale,-17.589534,66.035277
Humpback whale,-17.649796,66.034520
Humpback whale,-17.627788,66.035112
Humpback whale,-17.623261,66.037854
Humpback whale,-17.502091,66.020999
Humpback whale,-17.646512,66.036812
Humpback whale,-17.467503,66.021491
Humpback whale,-17.563082,66.014708
Humpback whale,-17.564905,66.015116
Humpback whale,-17.512845,66.006975
Humpback whale,-17.492006,66.009005
Humpback whale,-17.544848,66.018900
Humpback whale,-17.567656,66.011344
Humpback whale,-17.563558,66.009101
Humpback whale,-17.629871,66.038070
Humpback whale,-17.663641,66.060673
Humpback whale,-17.438367,66.025413
Humpback whale,-17.597151,66.026598
Humpback whale,-17.527242,66.033379
Humpback whale,-17.545025,66.036210
Humpback whale,-17.536343,66.048801
Humpback whale,-17.550308,66.047390
Humpback whale,-17.576494,66.055730
Humpback whale,-17.676679,66.054719
Humpback whale,-17.583748,66.037185
Humpback whale,-17.575115,66.018544
Humpback whale,-17.587655,66.021798
Humpback whale,-17.617610,66.044613
Humpback whale,-17.591135,66.030243
Humpback whale,-17.623576,66.045548
Humpback whale,-17.637309,66.057426
Humpback whale,-17.645714,66.066761
Humpback whale,-17.668477,66.056298
Humpback whale,-17.702858,66.086272
Humpback whale,-17.668804,66.111779
Humpback whale,-17.525577,66.122679
Humpback whale,-17.557609,66.089419
Humpback whale,-17.682050,66.121169
Humpback whale,-17.676730,66.121463
Humpback whale,-17.474824,66.078124
Humpback whale,-17.445904,66.113678
Humpback whale,-17.567448,66.118766
Humpback whale,-17.621228,66.111454
Humpback whale,-17.689406,66.085320
Humpback whale,-17.558097,66.115695
Humpback whale,-17.561071,66.123582
Humpback whale,-17.571189,66.126685
Humpback whale,-17.646182,66.110323
Humpback whale,-17.631823,66.111142
Humpback whale,-17.553938,66.060668
Humpback whale,-17.694682,66.083419
Humpback whale,-17.606321,66.086707
Humpback whale,-17.499600,66.106708
