species,longitude,latitude
Humpback Whale,-17.48,66.08
Humpback Whale,-17.6055,66.0931
Humpback Whale,-17.5441,66.0679
Humpback Whale,-17.4677,66.0214
Humpback Whale,-17.5255,66.0244
Humpback Whale,-17.5181,66.0189
Humpback Whale,-17.5685,66.0263
Humpback Whale,-17.4906,66.042
Humpback Whale,-17.5792,66.0455
Humpback Whale,-17.6002,66.0407
Humpback Whale,-17.6064,66.0292
Humpback Whale,-17.6028,66.0315
Humpback Whale,-17.5763,66.0318
Humpback Whale,-17.4648,66.0446
Humpback Whale,-17.4733,66.0503
Humpback Whale,-17.5072,66.031
Humpback Whale,-17.5399,66.0238
Humpback Whale,-17.5749,66.0149
Humpback Whale,-17.5948,66.027
Humpback Whale,-17.441,66.0384
Humpback Whale,-17.4518,66.0638
Humpback Whale,-17.561,66.0769
Humpback Whale,-17.5758,66.074
Humpback Whale,-17.5888,66.0848
Humpback Whale,-17.6017,66.0812
Humpback Whale,-17.6082,66.0922
Humpback Whale,-17.5277,66.0774
Humpback Whale,-17.6237,66.0452
Humpback Whale,-17.6435,66.0179
Humpback Whale,-17.3833,66.0487
Humpback Whale,-17.4119,66.043
Humpback Whale,-17.4539,66.0393
Humpback Whale,-17.5588,66.0286
Humpback Whale,-17.5209,66.0369
Humpback Whale,-17.4673,66.06
Humpback Whale,-17.5408,66.0414
Humpback Whale,-17.4763,66.0435
Humpback Whale,-17.479,66.0244
Humpback Whale,-17.5222,66.0119
Humpback Whale,-17.597,66.0215
Humpback Whale,-17.5249,66.0338
Humpback Whale,-17.4672,66.0243
Humpback Whale,-17.5156,66.0506
Humpback Whale,-17.52,66.054
Humpback Whale,-17.4473,66.0714
Humpback Whale,-17.4572,66.0631
Humpback Whale,-17.5299,66.0804
Humpback Whale,-17.5518,66.082
Humpback Whale,-17.5633,66.0821
Humpback Whale,-17.4314,66.0669
Humpback Whale,-17.5508,66.1145
Humpback Whale,-17.5711,66.1178
Humpback Whale,-17.458,66.057
Humpback Whale,-17.5205,66.0197
Humpback Whale,-17.5213,66.0648
Humpback Whale,-17.4757,66.0652
Humpback Whale,-17.6675,66.1166
Humpback Whale,-17.7577,66.1158
Humpback Whale,-17.7144,66.0974
Humpback Whale,-17.5969,66.0538
Humpback Whale,-17.502,66.1396
Humpback Whale,-17.4964,66.1596
Humpback Whale,-17.5915,66.0783
Humpback Whale,-17.6429,66.1041
Humpback Whale,-17.6363,66.1079
Humpback Whale,-17.6512,66.1192
Humpback Whale,-17.6374,66.0688
Humpback Whale,-17.6786,66.1123
Humpback Whale,-17.634,66.095
Humpback Whale,-17.6288,66.1022
Humpback Whale,-17.6544,66.1035
Humpback Whale,-17.6837,66.0993
Humpback Whale,-17.7127,66.0971
Humpback Whale,-17.5697,66.0747
Humpback Whale,-17.5697,66.0747
Humpback Whale,-17.6394,66.1153
Humpback Whale,-17.6926,66.1065
Humpback Whale,-17.6884,66.0904
Humpback Whale,-17.6553,66.0756
Humpback Whale,-17.5969,66.0909
Humpback Whale,-17.6231,66.0039
