species,longitude,latitude
Humpback whale,-17.566438,66.064232
Humpback whale,-17.558689,66.059004
Humpback whale,-17.554130,66.089233
Humpback whale,-17.521994,66.067415
Humpback whale,-17.561474,66.077339
Humpback whale,-17.567779,66.071519
Humpback whale,-17.549744,66.081399
Humpback whale,-17.539722,66.080765
Humpback whale,-17.558026,66.153931
Humpback whale,-17.579107,66.157219
Humpback whale,-17.533392,66.114947
Humpback whale,-17.566795,66.061746
Humpback whale,-17.578972,66.064615
Humpback whale,-17.573262,66.067304
Humpback whale,-17.363015,66.052506
Humpback whale,-17.362995,66.052513
Humpback whale,-17.654381,66.092415
Humpback whale,-17.688713,66.099094
Humpback whale,-17.532268,66.144089
Humpback whale,-17.571935,66.138203
Humpback whale,-17.585902,66.147801
Humpback whale,-17.532729,66.132269
Humpback whale,-17.507514,66.124191
Humpback whale,-17.512489,66.127296
Humpback whale,-17.453765,66.125138
Humpback whale,-17.462133,66.144508
Humpback whale,-17.461861,66.152409
Humpback whale,-17.465523,66.151931
Humpback whale,-17.446663,66.134515
Humpback whale,-17.459679,66.150954
Humpback whale,-17.467323,66.148255
Humpback whale,-17.471405,66.152815
Humpback whale,-17.532188,66.147272
Humpback whale,-17.538483,66.153515
Humpback whale,-17.404928,66.055027
Humpback whale,-17.604853,66.099643
Humpback whale,-17.639528,66.117015
Humpback whale,-17.595341,66.090174
Humpback whale,-17.664084,66.103525
Humpback whale,-17.664084,66.103525
Humpback whale,-17.652604,66.106148
Humpback whale,-17.652604,66.106148
Humpback whale,-17.586824,66.091713
Humpback whale,-17.586824,66.091713
Humpback whale,-17.607181,66.090977
Humpback whale,-17.676930,66.093194
Humpback whale,-17.574329,66.100694
Humpback whale,-17.545847,66.118535
Humpback whale,-17.556441,66.109868
Humpback whale,-17.642678,66.106314
Humpback whale,-17.538337,66.085221
Humpback whale,-17.532535,66.093011
Humpback whale,-17.543187,66.112770
Humpback whale,-17.498393,66.076871
Humpback whale,-17.587650,66.080645
Humpback whale,-17.611869,66.087612
Humpback whale,-17.524486,66.055234
Humpback whale,-17.501385,66.064461
Humpback whale,-17.473225,66.072166
Humpback whale,-17.533624,66.063067
Humpback whale,-17.523270,66.074127
Humpback whale,-17.530545,66.083538
Humpback whale,-17.509072,66.088150
Humpback whale,-17.481779,66.062691
Humpback whale,-17.495310,66.062197
Humpback whale,-17.510105,66.066618
Humpback whale,-17.503392,66.067174
Humpback whale,-17.490332,66.082610
Humpback whale,-17.517101,66.076494
Humpback whale,-17.475385,66.068554
Humpback whale,-17.511590,66.081250
Humpback whale,-17.606970,66.053657
Humpback whale,-17.545000,66.069257
Humpback whale,-17.616783,66.087340
Humpback whale,-17.639779,66.095871
Humpback whale,-17.659998,66.092967
Humpback whale,-17.661970,66.103535
Humpback whale,-17.698718,66.099081
Humpback whale,-17.494648,66.144256
Humpback whale,-17.474107,66.179863
Humpback whale,-17.520383,66.079899
Humpback whale,-17.590571,66.074668
Humpback whale,-17.613604,66.081879
Humpback whale,-17.628611,66.074102
Humpback whale,-17.641626,66.096958
Humpback whale,-17.643597,66.103260
Humpback whale,-17.665224,66.136828
Humpback whale,-17.777819,66.123250
Humpback whale,-17.773105,66.124789
Humpback whale,-17.522531,66.064331
Humpback whale,-17.546396,66.054705
Humpback whale,-17.528303,66.066737
Humpback whale,-17.535010,66.061277
Humpback whale,-17.555330,66.067375
Humpback whale,-17.438967,66.076485
Humpback whale,-17.461746,66.061865
Humpback whale,-17.637541,66.093399
Humpback whale,-17.647813,66.097577
Humpback whale,-17.666805,66.102515
Humpback whale,-17.670417,66.103330
Humpback whale,-17.684312,66.101169
Humpback whale,-17.506026,66.125718
Humpback whale,-17.518586,66.137057
Humpback whale,-17.481058,66.080132
Humpback whale,-17.491471,66.084113
Humpback whale,-17.495283,66.085652
Humpback whale,-17.464979,66.152503
Humpback whale,-17.488556,66.153827
Humpback whale,-17.494782,66.149031
Humpback whale,-17.473866,66.166883
Humpback whale,-17.484354,66.174993
Humpback whale,-17.506455,66.042830
Humpback whale,-17.520033,66.044863
Humpback whale,-17.549336,66.062154
Humpback whale,-17.560557,66.071661
Humpback whale,-17.585892,66.077812
