species,longitude,latitude
Humpback whale,-17.629613,66.118662
Humpback whale,-17.663173,66.095201
Humpback whale,-17.670263,66.084559
Humpback whale,-17.619355,66.080351
Humpback whale,-17.677177,66.083742
Humpback whale,-17.684535,66.075681
Humpback whale,-17.668962,66.063503
Humpback whale,-17.669768,66.063992
Humpback whale,-17.685693,66.070770
Humpback whale,-17.676115,66.072406
Humpback whale,-17.671862,66.070642
Humpback whale,-17.655239,66.067009
Humpback whale,-17.628351,66.077589
Humpback whale,-17.609010,66.078099
Humpback whale,-17.665728,66.069857
Humpback whale,-17.666644,66.068126
Humpback whale,-17.362361,66.052186
Humpback whale,-17.362367,66.052186
Humpback whale,-17.362423,66.052185
Humpback whale,-17.362423,66.052185
Humpback whale,-17.543655,66.057197
Humpback whale,-17.558605,66.057391
Humpback whale,-17.572119,66.057908
Humpback whale,-17.566637,66.055063
Humpback whale,-17.527457,66.049936
Humpback whale,-17.530197,66.050420
Humpback whale,-17.534488,66.049971
Humpback whale,-17.585427,66.067116
Humpback whale,-17.587529,66.067761
Humpback whale,-17.519915,66.058902
Humpback whale,-17.517386,66.068878
Humpback whale,-17.585415,66.047739
Humpback whale,-17.545933,66.039334
Humpback whale,-17.462238,66.056078
Humpback whale,-17.475038,66.057808
Humpback whale,-17.646594,66.067392
Humpback whale,-17.653820,66.071664
Humpback whale,-17.654324,66.072427
Humpback whale,-17.668116,66.071939
Humpback whale,-17.362492,66.052182
Humpback whale,-17.564726,66.041548
Humpback whale,-17.539378,66.073234
Humpback whale,-17.492605,66.035135
Humpback whale,-17.539229,66.050213
Humpback whale,-17.600589,66.038174
Humpback whale,-17.597797,66.038651
Humpback whale,-17.362407,66.052221
Humpback whale,-17.362480,66.052202
Humpback whale,-17.362455,66.052227
Humpback whale,-17.480263,66.038910
Humpback whale,-17.522000,66.037207
Humpback whale,-17.554793,66.036868
Humpback whale,-17.556292,66.037537
Humpback whale,-17.566548,66.036274
Humpback whale,-17.562498,66.033469
Humpback whale,-17.517531,66.043672
Humpback whale,-17.527418,66.042968
Humpback whale,-17.551204,66.040605
Humpback whale,-17.554999,66.040662
Humpback whale,-17.562733,66.041591
Humpback whale,-17.577383,66.054400
Humpback whale,-17.362295,66.052214
Humpback whale,-17.362321,66.052204
Humpback whale,-17.362389,66.052207
Humpback whale,-17.362387,66.052210
Humpback whale,-17.362387,66.052210
Humpback whale,-17.362374,66.052207
Humpback whale,-17.362374,66.052207
Humpback whale,-17.362331,66.052185
Humpback whale,-17.362331,66.052185
Humpback whale,-17.422745,66.050140
Humpback whale,-17.430492,66.051277
Humpback whale,-17.362467,66.052196
Humpback whale,-17.362415,66.052217
Humpback whale,-17.362386,66.052222
Humpback whale,-17.362386,66.052222
Humpback whale,-17.362350,66.052219
Humpback whale,-17.529953,66.059786
Humpback whale,-17.539087,66.062938
Humpback whale,-17.556132,66.037663
Humpback whale,-17.437787,66.062745
Humpback whale,-17.523770,66.053829
Humpback whale,-17.536234,66.054854
Humpback whale,-17.501714,66.046078
Humpback whale,-17.504969,66.045045
Humpback whale,-17.490576,66.053822
Humpback whale,-17.491073,66.054665
Humpback whale,-17.491158,66.054822
Humpback whale,-17.437368,66.050532
Humpback whale,-17.450423,66.051174
Humpback whale,-17.472677,66.055148
Humpback whale,-17.470836,66.055686
Humpback whale,-17.473937,66.057426
Humpback whale,-17.527979,66.064680
Humpback whale,-17.362303,66.052206
Humpback whale,-17.362334,66.052219
Humpback whale,-17.362396,66.052197
Humpback whale,-17.362387,66.052197
Humpback whale,-17.362387,66.052197
Humpback whale,-17.434725,66.051489
Humpback whale,-17.444199,66.059599
Humpback whale,-17.442520,66.059408
Humpback whale,-17.487266,66.045915
Humpback whale,-17.451157,66.067104
Humpback whale,-17.475365,66.087108
Humpback whale,-17.501519,66.097991
Humpback whale,-17.459237,66.107379
Humpback whale,-17.470068,66.100421
Humpback whale,-17.451292,66.098386
Humpback whale,-17.453981,66.099909
Humpback whale,-17.362394,66.052188
Humpback whale,-17.457868,66.146543
Humpback whale,-17.438743,66.169523
Humpback whale,-17.418392,66.162380
Humpback whale,-17.460954,66.145866
Humpback whale,-17.455240,66.146002
Humpback whale,-17.445714,66.140601
Humpback whale,-17.362445,66.052203
Humpback whale,-17.425854,66.097535
Humpback whale,-17.441988,66.064838
Humpback whale,-17.458491,66.051531
Humpback whale,-17.459018,66.049172
Humpback whale,-17.430123,66.055057
Humpback whale,-17.434073,66.058620
Humpback whale,-17.434642,66.059586
Humpback whale,-17.435257,66.063601
Humpback whale,-17.458844,66.059041
Humpback whale,-17.454684,66.079717
Humpback whale,-17.575299,66.079411
Humpback whale,-17.465538,66.052848
Humpback whale,-17.471467,66.074603
Humpback whale,-17.461688,66.069932
Humpback whale,-17.488526,66.068161
