species,longitude,latitude
Humpback Whale,-17.344681,66.046401
Humpback Whale,-17.3448,66.046198
Humpback Whale,-17.344935,66.046185
Humpback Whale,-17.344682,66.04642
Humpback Whale,-17.344682,66.04642
Humpback Whale,-17.344797,66.04575
Humpback Whale,-17.344808,66.04599
Humpback Whale,-17.344704,66.046405
Humpback Whale,-17.344704,66.046405
Humpback Whale,-17.555388,66.065292
Humpback Whale,-17.578872,66.068054
Humpback Whale,-17.605727,66.080584
Humpback Whale,-17.623563,66.084977
Humpback Whale,-17.535127,66.065922
Humpback Whale,-17.535275,66.062884
Humpback Whale,-17.535153,66.06416
Humpback Whale,-17.538119,66.069054
Humpback Whale,-17.56391,66.071244
Humpback Whale,-17.624764,66.081084
Humpback Whale,-17.655055,66.085671
Humpback Whale,-17.621984,66.091481
Humpback Whale,-17.606941,66.055881
Humpback Whale,-17.557999,66.044535
Humpback Whale,-17.565346,66.043763
Humpback Whale,-17.562016,66.046397
Humpback Whale,-17.565147,66.044927
Humpback Whale,-17.568588,66.043102
Humpback Whale,-17.583146,66.049649
Humpback Whale,-17.585441,66.051391
Humpback Whale,-17.583848,66.047831
Humpback Whale,-17.55225,66.054822
Humpback Whale,-17.546221,66.055282
Humpback Whale,-17.527492,66.046039
Humpback Whale,-17.526979,66.046235
Humpback Whale,-17.647965,66.069298
Humpback Whale,-17.648067,66.068266
Humpback Whale,-17.676281,66.081928
Humpback Whale,-17.655699,66.065893
Humpback Whale,-17.666011,66.071709
Humpback Whale,-17.655455,66.071762
Humpback Whale,-17.644917,66.064183
Humpback Whale,-17.618957,66.047944
Humpback Whale,-17.622536,66.050514
Humpback Whale,-17.624704,66.047897
Humpback Whale,-17.621529,66.04814
Humpback Whale,-17.621993,66.046854
Humpback Whale,-17.622567,66.04862
Humpback Whale,-17.623099,66.046421
Humpback Whale,-17.62699,66.039859
Humpback Whale,-17.627403,66.035882
Humpback Whale,-17.624507,66.039242
Humpback Whale,-17.622537,66.044528
Humpback Whale,-17.580582,66.046038
Humpback Whale,-17.582483,66.046462
Humpback Whale,-17.588777,66.042622
Humpback Whale,-17.596798,66.05294
Humpback Whale,-17.60323,66.05699
Humpback Whale,-17.604063,66.061741
Humpback Whale,-17.608108,66.065967
Humpback Whale,-17.602743,66.06879
Humpback Whale,-17.459184,66.069294
Humpback Whale,-17.560957,66.06189
Humpback Whale,-17.574526,66.043443
Humpback Whale,-17.576742,66.042972
Humpback Whale,-17.57729,66.045109
Humpback Whale,-17.581759,66.044836
Humpback Whale,-17.56064,66.044666
Humpback Whale,-17.636683,66.053245
Humpback Whale,-17.639118,66.051701
Humpback Whale,-17.64689,66.054332
Humpback Whale,-17.647304,66.056246
Humpback Whale,-17.647578,66.053712
Humpback Whale,-17.646327,66.053158
Humpback Whale,-17.647212,66.057662
Humpback Whale,-17.643943,66.057438
Humpback Whale,-17.638959,66.053426
Humpback Whale,-17.633175,66.051365
Humpback Whale,-17.637721,66.050568
Humpback Whale,-17.632744,66.048024
