species,longitude,latitude
Humpback whale,-17.607633,66.079291
Humpback whale,-17.618821,66.079575
Humpback whale,-17.617355,66.115565
Humpback whale,-17.596547,66.105011
Humpback whale,-17.707448,66.112176
Humpback whale,-17.724000,66.122002
Humpback whale,-17.614989,66.123600
Humpback whale,-17.629584,66.124800
Humpback whale,-17.625551,66.121343
Humpback whale,-17.605519,66.115475
Humpback whale,-17.539304,66.078144
Humpback whale,-17.633376,66.118406
Humpback whale,-17.344576,66.046509
Humpback whale,-17.632535,66.082622
Humpback whale,-17.665872,66.100673
Humpback whale,-17.636204,66.105384
Humpback whale,-17.642782,66.111831
Humpback whale,-17.670662,66.172263
Humpback whale,-17.515089,66.183249
Humpback whale,-17.629110,66.187904
Humpback whale,-17.618214,66.158262
Humpback whale,-17.500129,66.159696
Humpback whale,-17.533704,66.174229
Humpback whale,-17.644761,66.119547
Humpback whale,-17.655918,66.122240
Humpback whale,-17.524797,66.110340
Humpback whale,-17.488671,66.123780
Humpback whale,-17.624741,66.165868
Humpback whale,-17.637776,66.172255
Humpback whale,-17.733590,66.218353
Humpback whale,-17.676605,66.130431
Humpback whale,-17.640777,66.141273
Humpback whale,-17.648468,66.150285
Humpback whale,-17.602145,66.097994
Humpback whale,-17.615375,66.107723
Humpback whale,-17.620972,66.115773
Humpback whale,-17.668406,66.125799
Humpback whale,-17.683762,66.125601
Humpback whale,-17.674587,66.145162
Humpback whale,-17.515710,66.112898
Humpback whale,-17.544284,66.130427
Humpback whale,-17.529705,66.129129
Humpback whale,-17.446360,66.198025
Humpback whale,-17.553501,66.150267
Humpback whale,-17.569001,66.147556
Humpback whale,-17.472395,66.138797
Humpback whale,-17.516238,66.164275
Humpback whale,-17.529636,66.177740
Humpback whale,-17.478430,66.199305
Humpback whale,-17.459716,66.145835
Humpback whale,-17.480900,66.177822
Humpback whale,-17.413331,66.095772
Humpback whale,-17.492435,66.111216
Humpback whale,-17.512506,66.101442
Humpback whale,-17.534250,66.099683
Humpback whale,-17.633469,66.052403
Humpback whale,-17.651588,66.062504
Humpback whale,-17.665547,66.069610
Humpback whale,-17.541507,66.093326
Humpback whale,-17.593002,66.087907
Humpback whale,-17.577734,66.074020
Humpback whale,-17.546677,66.064980
Humpback whale,-17.579052,66.080647
Humpback whale,-17.588893,66.076308
Humpback whale,-17.562794,66.078351
Humpback whale,-17.452171,66.140550
Humpback whale,-17.418292,66.193838
Humpback whale,-17.406660,66.197141
Humpback whale,-17.489518,66.076356
Humpback whale,-17.486128,66.086828
Humpback whale,-17.534470,66.079726
Humpback whale,-17.426767,66.058267
Humpback whale,-17.506187,66.089785
Humpback whale,-17.553846,66.076657
Humpback whale,-17.523157,66.064619
Humpback whale,-17.526967,66.066634
Humpback whale,-17.486160,66.127611
Humpback whale,-17.492875,66.144299
Humpback whale,-17.498888,66.141627
Humpback whale,-17.495846,66.137542
Humpback whale,-17.452237,66.059149
Humpback whale,-17.481335,66.063969
Humpback whale,-17.452073,66.099969
Humpback whale,-17.519545,66.117751
Humpback whale,-17.513673,66.127170
Humpback whale,-17.554212,66.108592
Humpback whale,-17.563498,66.103959
Humpback whale,-17.404760,66.169533
Humpback whale,-17.426819,66.176567
Humpback whale,-17.418741,66.181516
Humpback whale,-17.585836,66.068252
Humpback whale,-17.686387,66.093757
Humpback whale,-17.549222,66.083358
Humpback whale,-17.550488,66.095409
Humpback whale,-17.553821,66.097241
Humpback whale,-17.616848,66.103217
Humpback whale,-17.634416,66.110423
