species,longitude,latitude
Humpback Whale,-17.5839,66.0942
Humpback Whale,-17.69,66.0963
Humpback Whale,-17.6523,66.0914
Humpback Whale,-17.3933,66.0429
Humpback Whale,-17.3819,66.05
Humpback Whale,-17.4101,66.0751
Humpback Whale,-17.4005,66.0784
Humpback Whale,-17.4047,66.0827
Humpback Whale,-17.4059,66.0894
Humpback Whale,-17.3449,66.0466
Humpback Whale,-17.38,66.0533
Humpback Whale,-17.4106,66.0408
Humpback Whale,-17.4394,66.0232
Humpback Whale,-17.4175,66.0417
Humpback Whale,-17.5708,66.0584
Humpback Whale,-17.5353,66.0447
Humpback Whale,-17.5411,66.0457
Humpback Whale,-17.6238,66.0762
